shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
RED2,39.51050978,-84.74169016,56,4.07187
RED2,39.51050564,-84.74245727,57,4.13768
RED2,39.50923919,-84.74248409,58,4.27852
RED2,39.50787545,-84.74250019,59,4.43017
RED2,39.50738086,-84.74250287,60,4.48517
RED2,39.50673726,-84.74251628,61,4.55674
RED2,39.50577082,-84.74252701,62,4.66421
RED2,39.50505891,-84.74254042,63,4.74338
RED2,39.50456637,-84.74254042,64,4.79815
RED2,39.50434493,-84.74255383,65,4.8228
RED2,39.50394758,-84.74257261,66,4.86701
RED2,39.50339294,-84.74260747,67,4.92876
RED2,39.50285071,-84.74261284,68,4.98905
RED2,39.50258787,-84.74261016,69,5.01828
RED2,39.50204771,-84.74262893,70,5.07836
RED2,39.50167725,-84.7426343,71,5.11956
RED2,39.50107706,-84.74266112,72,5.18633
RED2,39.50060726,-84.74267721,73,5.23859
RED2,39.50062174,-84.74423826,74,5.37254
RED2,39.50064244,-84.74575371,75,5.50259
RED2,39.50170623,-84.74575639,76,5.62087
RED2,39.50319219,-84.74573225,77,5.78612
RED2,39.50379857,-84.74570006,78,5.8536
RED2,39.50405519,-84.74568665,79,5.88216
RED2,39.50416488,-84.74792629,80,6.0747
RED2,39.5041835,-84.74857807,81,6.13066
RED2,39.50422282,-84.74939078,82,6.20052
RED2,39.50468433,-84.74941224,83,6.25187
RED2,39.50493578,-84.7494176,84,6.27983
RED2,39.50493888,-84.75017801,85,6.34507
RED2,39.50493681,-84.75078821,86,6.39743
RED2,39.50493474,-84.75104839,87,6.41975
RED2,39.50493836,-84.75139305,88,6.44932
RED2,39.50493629,-84.75193888,89,6.49615
RED2,39.50494302,-84.75236535,90,6.53275
RED2,39.50494716,-84.75254372,91,6.54806
GREEN,39.51663477,-84.73591805,1,0
GREEN,39.51504978,-84.73608971,2,0.176858
GREEN,39.51506219,-84.73754883,3,0.302032
GREEN,39.51509944,-84.73915815,4,0.440145
GREEN,39.51511185,-84.74075675,5,0.577283
GREEN,39.51514082,-84.74233389,6,0.712612
GREEN,39.51516979,-84.74392176,7,0.84886
GREEN,39.51516151,-84.74498391,8,0.939979
GREEN,39.51518634,-84.74568665,9,1.00032
GREEN,39.51510358,-84.74562764,10,1.01083
GREEN,39.51366753,-84.74555254,11,1.17064
GREEN,39.51165205,-84.74556863,12,1.39475
GREEN,39.51163136,-84.74398613,13,1.53053
GREEN,39.51157755,-84.74245727,14,1.66182
GREEN,39.51093606,-84.74244118,15,1.73317
GREEN,39.51050978,-84.742468,16,1.78062
GREEN,39.507385,-84.74250555,17,2.1281
GREEN,39.50461603,-84.74253774,18,2.436
GREEN,39.50339501,-84.74260747,19,2.57191
GREEN,39.50258374,-84.74260747,20,2.66212
GREEN,39.50061761,-84.74268258,21,2.88084
GREEN,39.50060933,-84.74239826,22,2.90525
GREEN,39.50058449,-84.74202812,23,2.93713
GREEN,39.50058035,-84.74103034,24,3.02274
GREEN,39.50056379,-84.7404027,25,3.07662
GREEN,39.50057621,-84.73944247,26,3.15902
GREEN,39.50050171,-84.73635793,27,3.4238
GREEN,39.50165242,-84.73629892,28,3.55186
GREEN,39.50371372,-84.73622382,29,3.78115
GREEN,39.50730222,-84.73617017,30,4.1802
GREEN,39.50732705,-84.73530114,31,4.25481
GREEN,39.50729394,-84.73457694,32,4.31705
GREEN,39.50729808,-84.7329998,33,4.45236
GREEN,39.50716564,-84.73067701,34,4.65218
GREEN,39.50808033,-84.7306931,35,4.75389
GREEN,39.50925988,-84.73066628,36,4.88507
GREEN,39.51034009,-84.73062336,37,5.00524
GREEN,39.51037734,-84.73267794,38,5.18155
GREEN,39.5103732,-84.73470569,39,5.35551
GREEN,39.5114327,-84.73472178,40,5.47333
GREEN,39.5135351,-84.73464668,41,5.70719
GREEN,39.51467318,-84.73464668,42,5.83374
GREEN,39.51476009,-84.73464131,43,5.84341
GREEN,39.51485527,-84.73462522,44,5.85409
GREEN,39.51502908,-84.73458767,45,5.87368
GREEN,39.51504978,-84.73604143,46,5.99841
GREEN,39.51504978,-84.73608971,47,6.00255
GREEN,39.51663477,-84.73591805,48,6.17941
